node1,node2
Postcentral L.2,Precentral L.3
Postcentral L.2,Precentral L.4
Postcentral L.2,Parietal Sup L.7
Postcentral L.2,Postcentral L.11
Postcentral L.2,Paracentral Lobule L.5
Postcentral L.2,Precentral L.6
Postcentral L.2,Supp Motor Area L.6
Postcentral L.2,Precuneus L.7
Postcentral L.2,Precuneus L.8
Postcentral L.2,Precentral L.11
Postcentral L.2,Postcentral R.2
Postcentral L.2,Postcentral R.3
Postcentral L.2,Precentral R.2
Postcentral L.2,Postcentral R.7
Postcentral L.2,Postcentral R.9
Postcentral L.2,Precentral R.3
Postcentral L.2,Precentral R.7
Postcentral L.2,Postcentral R.12
Postcentral L.2,Precentral R.12
Postcentral L.3,Precentral L.1
Postcentral L.3,Supp Motor Area L.2
Postcentral L.3,Parietal Sup L.4
Postcentral L.3,Postcentral L.8
Postcentral L.3,Postcentral L.10
Postcentral L.3,Parietal Sup L.5
Postcentral L.3,Precentral L.3
Postcentral L.3,Precentral L.4
Postcentral L.3,Parietal Sup L.7
Postcentral L.3,Postcentral L.11
Postcentral L.3,Paracentral Lobule L.5
Postcentral L.3,Precentral L.6
Postcentral L.3,Precuneus L.7
Postcentral L.3,Precuneus L.8
Postcentral L.3,Precentral L.11
Postcentral L.3,Parietal Sup R.1
Postcentral L.3,Precentral R.1
Postcentral L.3,Postcentral R.2
Postcentral L.3,Postcentral R.3
Postcentral L.3,Precentral R.2
Postcentral L.3,Supp Motor Area R.1
Postcentral L.3,Postcentral R.7
Postcentral L.3,Supp Motor Area R.3
Postcentral L.3,Postcentral R.9
Postcentral L.3,Precentral R.3
Postcentral L.3,Postcentral R.10
Postcentral L.3,Postcentral R.11
Postcentral L.3,Precentral R.7
Postcentral L.3,Postcentral R.12
Postcentral L.3,Postcentral R.13
Postcentral L.3,Precentral R.12
Precentral L.1,Postcentral L.5
Precentral L.1,Supp Motor Area L.2
Precentral L.1,Postcentral L.8
Precentral L.1,Postcentral L.10
Precentral L.1,Parietal Sup L.5
Precentral L.1,Precentral L.3
Precentral L.1,Precentral L.4
Precentral L.1,Postcentral L.11
Precentral L.1,Precentral L.6
Precentral L.1,Precuneus L.8
Precentral L.1,Precentral L.11
Precentral L.1,Postcentral R.2
Precentral L.1,Postcentral R.3
Precentral L.1,Precentral R.2
Precentral L.1,Postcentral R.9
Precentral L.1,Precentral R.3
Precentral L.1,Precentral R.7
Supp Motor Area L.2,Postcentral L.5
Supp Motor Area L.2,Postcentral L.8
Supp Motor Area L.2,Postcentral L.10
Supp Motor Area L.2,Parietal Sup L.5
Supp Motor Area L.2,Precentral L.4
Supp Motor Area L.2,Paracentral Lobule L.3
Supp Motor Area L.2,Paracentral Lobule L.4
Supp Motor Area L.2,Postcentral L.11
Supp Motor Area L.2,Paracentral Lobule L.5
Supp Motor Area L.2,Supp Motor Area L.6
Supp Motor Area L.2,Precuneus L.7
Supp Motor Area L.2,Precuneus L.8
Supp Motor Area L.2,Precentral L.11
Supp Motor Area L.2,Precentral R.1
Supp Motor Area L.2,Postcentral R.2
Supp Motor Area L.2,Postcentral R.3
Supp Motor Area L.2,Supp Motor Area R.1
Supp Motor Area L.2,Supp Motor Area R.2
Supp Motor Area L.2,Postcentral R.7
Supp Motor Area L.2,Supp Motor Area R.3
Supp Motor Area L.2,Postcentral R.9
Supp Motor Area L.2,Paracentral Lobule R.1
Supp Motor Area L.2,Precentral R.5
Supp Motor Area L.2,Precentral R.7
Supp Motor Area L.2,Frontal Sup R.9
Supp Motor Area L.2,Postcentral R.12
Parietal Sup L.3,Precuneus L.1
Parietal Sup L.3,Precuneus L.2
Parietal Sup L.3,Parietal Sup L.4
Parietal Sup L.3,Postcentral L.8
Parietal Sup L.3,Parietal Sup L.5
Parietal Sup L.3,Parietal Sup L.7
Parietal Sup L.3,Precuneus L.5
Parietal Sup L.3,Precuneus L.7
Parietal Sup L.3,Parietal Sup R.3
Parietal Sup L.3,Parietal Sup R.4
Parietal Sup L.3,Postcentral R.7
Parietal Sup L.3,Parietal Sup R.7
Parietal Sup L.3,Precuneus R.5
Parietal Sup L.4,Precuneus L.2
Parietal Sup L.4,Postcentral L.10
Parietal Sup L.4,Parietal Sup L.5
Parietal Sup L.4,Parietal Sup L.6
Parietal Sup L.4,Parietal Sup L.7
Parietal Sup L.4,Postcentral L.11
Parietal Sup L.4,Parietal Sup L.8
Parietal Sup L.4,Parietal Sup R.1
Parietal Sup L.4,Parietal Sup R.3
Parietal Sup L.4,Parietal Sup R.4
Parietal Sup L.4,Parietal Sup R.5
Parietal Sup L.4,Parietal Sup R.7
Parietal Sup L.4,Postcentral R.10
Postcentral L.8,Postcentral L.5
Postcentral L.8,Postcentral L.10
Postcentral L.8,Parietal Sup L.5
Postcentral L.8,Precentral L.3
Postcentral L.8,Precentral L.4
Postcentral L.8,Paracentral Lobule L.3
Postcentral L.8,Parietal Sup L.7
Postcentral L.8,Postcentral L.11
Postcentral L.8,Precentral L.6
Postcentral L.8,Supp Motor Area L.6
Postcentral L.8,Precuneus L.7
Postcentral L.8,Parietal Sup L.8
Postcentral L.8,Precentral L.11
Postcentral L.8,Parietal Sup R.1
Postcentral L.8,Postcentral R.2
Postcentral L.8,Postcentral R.3
Postcentral L.8,Precentral R.2
Postcentral L.8,Supp Motor Area R.1
Postcentral L.8,Postcentral R.7
Postcentral L.8,Postcentral R.9
Postcentral L.8,Paracentral Lobule R.1
Postcentral L.8,Precentral R.7
Postcentral L.8,Postcentral R.12
Parietal Sup L.5,Postcentral L.10
Parietal Sup L.5,Precentral L.3
Parietal Sup L.5,Precentral L.4
Parietal Sup L.5,Parietal Sup L.7
Parietal Sup L.5,Postcentral L.11
Parietal Sup L.5,Paracentral Lobule L.5
Parietal Sup L.5,Precentral L.6
Parietal Sup L.5,Precuneus L.7
Parietal Sup L.5,Precuneus L.8
Parietal Sup L.5,Precentral L.11
Parietal Sup L.5,Parietal Sup R.1
Parietal Sup L.5,Precentral R.1
Parietal Sup L.5,Postcentral R.2
Parietal Sup L.5,Postcentral R.3
Parietal Sup L.5,Supp Motor Area R.1
Parietal Sup L.5,Parietal Sup R.4
Parietal Sup L.5,Postcentral R.7
Parietal Sup L.5,Supp Motor Area R.3
Parietal Sup L.5,Postcentral R.9
Parietal Sup L.5,Precentral R.3
Parietal Sup L.5,Parietal Sup R.7
Parietal Sup L.5,Postcentral R.10
Parietal Sup L.5,Postcentral R.11
Parietal Sup L.5,Precentral R.7
Parietal Sup L.5,Postcentral R.12
Parietal Sup L.5,Postcentral R.13
Parietal Sup L.5,Precentral R.12
Precentral L.3,Parietal Sup L.7
Precentral L.3,Postcentral L.11
Precentral L.3,Paracentral Lobule L.5
Precentral L.3,Precentral L.6
Precentral L.3,Precuneus L.8
Precentral L.3,Precentral L.11
Precentral L.3,Parietal Sup R.1
Precentral L.3,Precentral R.1
Precentral L.3,Postcentral R.3
Precentral L.3,Supp Motor Area R.3
Precentral L.3,Postcentral R.9
Precentral L.3,Precentral R.3
Precentral L.3,Precentral R.7
Precentral L.3,Precentral R.12
Parietal Sup L.7,Precuneus L.2
Parietal Sup L.7,Postcentral L.10
Parietal Sup L.7,Postcentral L.11
Parietal Sup L.7,Precuneus L.5
Parietal Sup L.7,Precuneus L.8
Parietal Sup L.7,Parietal Sup L.8
Parietal Sup L.7,Precentral L.11
Parietal Sup L.7,Precentral L.12
Parietal Sup L.7,Parietal Sup R.1
Parietal Sup L.7,Postcentral R.3
Parietal Sup L.7,Parietal Sup R.3
Parietal Sup L.7,Parietal Sup R.4
Parietal Sup L.7,Parietal Sup R.5
Parietal Sup L.7,Postcentral R.7
Parietal Sup L.7,Postcentral R.9
Parietal Sup L.7,Parietal Sup R.7
Parietal Sup L.7,Postcentral R.10
Parietal Sup L.7,Precuneus R.5
Postcentral L.11,Parietal Inf L.3
Postcentral L.11,Postcentral L.5
Postcentral L.11,Postcentral L.10
Postcentral L.11,Precentral L.4
Postcentral L.11,Precentral L.6
Postcentral L.11,Precuneus L.8
Postcentral L.11,Parietal Sup L.8
Postcentral L.11,Precentral L.11
Postcentral L.11,Parietal Sup R.1
Postcentral L.11,Postcentral R.2
Postcentral L.11,Postcentral R.3
Postcentral L.11,Precentral R.2
Postcentral L.11,Parietal Sup R.5
Postcentral L.11,Postcentral R.7
Postcentral L.11,Postcentral R.9
Postcentral L.11,Precentral R.3
Postcentral L.11,Parietal Sup R.7
Postcentral L.11,Postcentral R.10
Postcentral L.11,Precentral R.7
Postcentral L.11,Precentral R.12
Paracentral Lobule L.5,Paracentral Lobule L.4
Paracentral Lobule L.5,Precentral L.6
Paracentral Lobule L.5,Precuneus L.7
Paracentral Lobule L.5,Precuneus L.8
Paracentral Lobule L.5,Precentral R.1
Paracentral Lobule L.5,Supp Motor Area R.1
Paracentral Lobule L.5,Supp Motor Area R.3
Paracentral Lobule L.5,Precentral R.5
Paracentral Lobule L.5,Postcentral R.11
Paracentral Lobule L.5,Precentral R.7
Paracentral Lobule L.5,Postcentral R.12
Paracentral Lobule L.5,Postcentral R.13
Precentral L.6,Paracentral Lobule L.4
Precentral L.6,Precuneus L.8
Precentral L.6,Precentral L.11
Precentral L.6,Precentral R.1
Precentral L.6,Postcentral R.3
Precentral L.6,Supp Motor Area R.3
Precentral L.6,Precentral R.3
Precentral L.6,Precentral R.5
Precentral L.6,Postcentral R.11
Precentral L.6,Precentral R.7
Precentral L.6,Postcentral R.13
Precuneus L.5,Precuneus L.1
Precuneus L.5,Precuneus L.2
Precuneus L.5,Precuneus L.4
Precuneus L.5,Parietal Sup L.6
Precuneus L.5,Parietal Sup R.2
Precuneus L.5,Parietal Sup R.3
Precuneus L.5,Parietal Sup R.4
Precuneus L.5,Precuneus R.3
Precuneus L.5,Precuneus R.5
Precuneus L.5,Parietal Sup R.8
Precuneus L.8,Paracentral Lobule L.4
Precuneus L.8,Precuneus L.7
Precuneus L.8,Parietal Sup R.1
Precuneus L.8,Precentral R.1
Precuneus L.8,Postcentral R.3
Precuneus L.8,Supp Motor Area R.1
Precuneus L.8,Supp Motor Area R.3
Precuneus L.8,Postcentral R.9
Precuneus L.8,Paracentral Lobule R.1
Precuneus L.8,Postcentral R.11
Precuneus L.8,Precentral R.7
Precuneus L.8,Postcentral R.12
Precuneus L.8,Postcentral R.13
Precentral L.11,Postcentral L.10
Precentral L.11,Precentral L.4
Precentral L.11,Supp Motor Area L.6
Precentral L.11,Precentral L.12
Precentral L.11,Precentral R.1
Precentral L.11,Postcentral R.3
Precentral L.11,Postcentral R.7
Precentral L.11,Postcentral R.9
Precentral L.11,Precentral R.3
Precentral L.11,Precentral R.7
Precentral L.11,Precentral R.12
Parietal Sup R.1,Precentral R.1
Parietal Sup R.1,Postcentral R.2
Parietal Sup R.1,Postcentral R.3
Parietal Sup R.1,Precentral R.2
Parietal Sup R.1,Parietal Sup R.4
Parietal Sup R.1,Parietal Sup R.5
Parietal Sup R.1,Postcentral R.7
Parietal Sup R.1,Postcentral R.9
Parietal Sup R.1,Precentral R.3
Parietal Sup R.1,Parietal Sup R.7
Parietal Sup R.1,Postcentral R.10
Parietal Sup R.1,Precentral R.7
Parietal Sup R.1,Precuneus R.5
Parietal Sup R.1,Postcentral R.12
Parietal Sup R.1,Postcentral R.13
Parietal Sup R.1,Precentral R.12
Precentral R.1,Paracentral Lobule L.4
Precentral R.1,Postcentral R.3
Precentral R.1,Supp Motor Area R.1
Precentral R.1,Postcentral R.7
Precentral R.1,Supp Motor Area R.3
Precentral R.1,Postcentral R.9
Precentral R.1,Precentral R.3
Precentral R.1,Precentral R.5
Precentral R.1,Postcentral R.11
Precentral R.1,Precentral R.7
Precentral R.1,Postcentral R.12
Precentral R.1,Postcentral R.13
Precentral R.1,Precentral R.12
Postcentral R.3,Postcentral L.10
Postcentral R.3,Precentral L.4
Postcentral R.3,Postcentral R.2
Postcentral R.3,Precentral R.2
Postcentral R.3,Supp Motor Area R.1
Postcentral R.3,Parietal Sup R.5
Postcentral R.3,Postcentral R.7
Postcentral R.3,Postcentral R.9
Postcentral R.3,Precentral R.3
Postcentral R.3,Paracentral Lobule R.1
Postcentral R.3,Parietal Sup R.7
Postcentral R.3,Postcentral R.10
Postcentral R.3,Postcentral R.11
Postcentral R.3,Precentral R.7
Postcentral R.3,Postcentral R.12
Postcentral R.3,Precentral R.11
Postcentral R.3,Postcentral R.13
Postcentral R.3,Precentral R.12
Postcentral R.7,Postcentral L.10
Postcentral R.7,Precuneus L.7
Postcentral R.7,Postcentral R.2
Postcentral R.7,Postcentral R.5
Postcentral R.7,Precentral R.2
Postcentral R.7,Supp Motor Area R.1
Postcentral R.7,Parietal Sup R.4
Postcentral R.7,Precuneus R.3
Postcentral R.7,Parietal Inf R.5
Postcentral R.7,Postcentral R.9
Postcentral R.7,Precentral R.3
Postcentral R.7,Precentral R.4
Postcentral R.7,Paracentral Lobule R.1
Postcentral R.7,Parietal Sup R.7
Postcentral R.7,Postcentral R.10
Postcentral R.7,Postcentral R.11
Postcentral R.7,Precentral R.7
Postcentral R.7,Frontal Sup R.9
Postcentral R.7,Postcentral R.12
Postcentral R.7,Precentral R.11
Postcentral R.7,Parietal Sup R.8
Postcentral R.7,Precentral R.12
Supp Motor Area R.3,Paracentral Lobule L.4
Supp Motor Area R.3,Supp Motor Area R.1
Supp Motor Area R.3,Supp Motor Area R.2
Supp Motor Area R.3,Precentral R.3
Supp Motor Area R.3,Precentral R.5
Supp Motor Area R.3,Postcentral R.11
Supp Motor Area R.3,Precentral R.7
Supp Motor Area R.3,Postcentral R.12
Supp Motor Area R.3,Postcentral R.13
Postcentral R.9,Postcentral L.10
Postcentral R.9,Postcentral R.2
Postcentral R.9,Precentral R.2
Postcentral R.9,Supp Motor Area R.1
Postcentral R.9,Parietal Sup R.4
Postcentral R.9,Parietal Sup R.5
Postcentral R.9,Precentral R.3
Postcentral R.9,Parietal Sup R.7
Postcentral R.9,Postcentral R.10
Postcentral R.9,Postcentral R.11
Postcentral R.9,Precentral R.7
Postcentral R.9,Postcentral R.12
Postcentral R.9,Postcentral R.13
Postcentral R.9,Precentral R.12
Precentral R.3,Postcentral R.2
Precentral R.3,Precentral R.2
Precentral R.3,Supp Motor Area R.1
Precentral R.3,Postcentral R.10
Precentral R.3,Postcentral R.11
Precentral R.3,Precentral R.7
Precentral R.3,Precentral R.11
Precentral R.3,Postcentral R.13
Precentral R.3,Precentral R.12
Parietal Sup R.7,Precuneus L.2
Parietal Sup R.7,Occipital Sup R.1
Parietal Sup R.7,Parietal Sup R.3
Parietal Sup R.7,Parietal Sup R.4
Parietal Sup R.7,Parietal Sup R.5
Parietal Sup R.7,Postcentral R.10
Parietal Sup R.7,Precuneus R.5
Postcentral R.10,Postcentral L.10
Postcentral R.10,Parietal Sup L.8
Postcentral R.10,Postcentral R.2
Postcentral R.10,Postcentral R.5
Postcentral R.10,Precentral R.2
Postcentral R.10,Parietal Sup R.5
Postcentral R.10,Parietal Inf R.5
Postcentral R.10,Precentral R.4
Postcentral R.10,Precentral R.7
Postcentral R.10,Precentral R.11
Postcentral R.10,Parietal Sup R.8
Postcentral R.10,Precentral R.12
Precentral R.7,Precentral L.4
Precentral R.7,Postcentral R.2
Precentral R.7,Precentral R.2
Precentral R.7,Supp Motor Area R.1
Precentral R.7,Paracentral Lobule R.1
Precentral R.7,Precentral R.5
Precentral R.7,Postcentral R.11
Precentral R.7,Postcentral R.12
Precentral R.7,Postcentral R.13
Precentral R.7,Precentral R.12
Precuneus R.5,Precuneus L.1
Precuneus R.5,Precuneus L.2
Precuneus R.5,Precuneus L.4
Precuneus R.5,Occipital Sup R.1
Precuneus R.5,Parietal Sup R.2
Precuneus R.5,Parietal Sup R.3
Precuneus R.5,Parietal Sup R.4
Precuneus R.5,Precuneus R.3
Precuneus R.5,Precuneus R.4
Precuneus R.5,Frontal Mid R.12
Precuneus R.5,Parietal Sup R.8
Postcentral R.12,Postcentral L.5
Postcentral R.12,Paracentral Lobule L.3
Postcentral R.12,Paracentral Lobule L.4
Postcentral R.12,Supp Motor Area L.6
Postcentral R.12,Precuneus L.7
Postcentral R.12,Postcentral R.2
Postcentral R.12,Precentral R.2
Postcentral R.12,Supp Motor Area R.1
Postcentral R.12,Parietal Sup R.4
Postcentral R.12,Precuneus R.3
Postcentral R.12,Paracentral Lobule R.1
Postcentral R.12,Precentral R.5
Postcentral R.12,Postcentral R.11
Postcentral R.12,Frontal Sup R.9
Postcentral R.12,Postcentral R.13
Postcentral R.13,Precuneus L.7
Postcentral R.13,Supp Motor Area R.1
Postcentral R.13,Paracentral Lobule R.1
Postcentral R.13,Postcentral R.11
Insula L.1,Insula L.2
Insula L.1,Insula L.3
Insula L.1,Temporal Sup L.2
Insula L.1,Insula L.4
Insula L.1,Insula L.6
Insula L.2,Rolandic Oper L.2
Insula L.2,Insula L.3
Insula L.2,Temporal Sup L.2
Insula L.2,Temporal Sup L.3
Insula L.2,Rolandic Oper L.3
Insula L.2,Insula L.4
Insula L.2,Temporal Sup L.4
Insula L.2,Temporal Sup L.7
Insula L.3,Frontal Inf Oper L.2
Insula L.3,Frontal Inf Orb L.7
Insula L.3,Insula L.6
Insula L.3,Insula R.2
Temporal Sup L.2,Temporal Sup L.3
Temporal Sup L.2,Temporal Sup L.4
Temporal Sup L.2,Temporal Sup L.5
Temporal Sup L.2,Temporal Sup L.7
Temporal Sup L.2,Temporal Sup L.8
Insula L.4,Putamen L.2
Insula L.4,Rolandic Oper L.2
Insula L.4,Thalamus L.4
Insula L.6,Frontal Inf Orb L.7
Occipital Inf L.1,Occipital Mid L.1
Occipital Inf L.1,Occipital Mid L.2
Occipital Inf L.1,Calcarine L.2
Occipital Inf L.1,Lingual L.4
Occipital Inf L.1,Calcarine L.3
Occipital Inf L.1,Lingual L.5
Occipital Inf L.1,Occipital Sup L.5
Occipital Inf L.1,Occipital Inf L.2
Occipital Inf L.1,Occipital Mid L.11
Occipital Inf L.1,Occipital Mid L.12
Occipital Inf L.1,Occipital Inf L.3
Occipital Inf L.1,Occipital Inf R.1
Occipital Inf L.1,Occipital Mid R.1
Occipital Inf L.1,Occipital Inf R.2
Occipital Inf L.1,Lingual R.2
Occipital Inf L.1,Lingual R.4
Occipital Inf L.1,Lingual R.5
Occipital Inf L.1,Calcarine R.3
Occipital Inf L.1,Occipital Inf R.3
Occipital Inf L.1,Occipital Mid R.7
Occipital Inf L.1,Occipital Sup R.6
Occipital Inf L.1,Occipital Inf R.4
Occipital Inf L.1,Occipital Inf R.5
Occipital Mid L.1,Fusiform L.2
Occipital Mid L.1,Occipital Mid L.2
Occipital Mid L.1,Calcarine L.1
Occipital Mid L.1,Occipital Mid L.3
Occipital Mid L.1,Lingual L.1
Occipital Mid L.1,Occipital Mid L.4
Occipital Mid L.1,Lingual L.2
Occipital Mid L.1,Calcarine L.2
Occipital Mid L.1,Fusiform L.3
Occipital Mid L.1,Lingual L.3
Occipital Mid L.1,Lingual L.4
Occipital Mid L.1,Calcarine L.3
Occipital Mid L.1,Lingual L.5
Occipital Mid L.1,Lingual L.6
Occipital Mid L.1,Occipital Sup L.5
Occipital Mid L.1,Occipital Inf L.2
Occipital Mid L.1,Precuneus L.6
Occipital Mid L.1,Fusiform L.6
Occipital Mid L.1,Cuneus L.3
Occipital Mid L.1,Occipital Mid L.9
Occipital Mid L.1,Occipital Mid L.11
Occipital Mid L.1,Occipital Sup L.8
Occipital Mid L.1,Occipital Mid L.12
Occipital Mid L.1,Occipital Inf L.3
Occipital Mid L.1,Calcarine L.5
Occipital Mid L.1,Occipital Mid R.1
Occipital Mid L.1,Occipital Inf R.2
Occipital Mid L.1,Calcarine R.1
Occipital Mid L.1,Occipital Mid R.2
Occipital Mid L.1,Lingual R.1
Occipital Mid L.1,Fusiform R.4
Occipital Mid L.1,Fusiform R.5
Occipital Mid L.1,Lingual R.3
Occipital Mid L.1,Lingual R.5
Occipital Mid L.1,Lingual R.6
Occipital Mid L.1,Occipital Inf R.3
Occipital Mid L.1,Fusiform R.9
Occipital Mid L.1,Occipital Sup R.5
Occipital Mid L.1,Occipital Mid R.7
Occipital Mid L.1,Occipital Sup R.6
Occipital Mid L.1,Occipital Sup R.7
Occipital Mid L.1,Occipital Inf R.4
Occipital Mid L.2,Occipital Mid L.3
Occipital Mid L.2,Calcarine L.2
Occipital Mid L.2,Lingual L.4
Occipital Mid L.2,Calcarine L.3
Occipital Mid L.2,Lingual L.5
Occipital Mid L.2,Occipital Sup L.5
Occipital Mid L.2,Occipital Inf L.2
Occipital Mid L.2,Occipital Mid L.9
Occipital Mid L.2,Occipital Mid L.11
Occipital Mid L.2,Occipital Mid L.12
Occipital Mid L.2,Occipital Inf L.3
Occipital Mid L.2,Occipital Inf R.1
Occipital Mid L.2,Occipital Mid R.1
Occipital Mid L.2,Occipital Inf R.2
Occipital Mid L.2,Occipital Mid R.2
Occipital Mid L.2,Lingual R.4
Occipital Mid L.2,Lingual R.5
Occipital Mid L.2,Calcarine R.3
Occipital Mid L.2,Occipital Inf R.3
Occipital Mid L.2,Occipital Mid R.7
Occipital Mid L.2,Occipital Sup R.6
Occipital Mid L.2,Occipital Inf R.4
Occipital Mid L.2,Occipital Inf R.5
Calcarine L.2,Calcarine L.1
Calcarine L.2,Lingual L.4
Calcarine L.2,Calcarine L.3
Calcarine L.2,Lingual L.5
Calcarine L.2,Lingual L.6
Calcarine L.2,Occipital Sup L.5
Calcarine L.2,Occipital Inf L.2
Calcarine L.2,Fusiform L.6
Calcarine L.2,Occipital Mid L.11
Calcarine L.2,Occipital Mid L.12
Calcarine L.2,Occipital Inf L.3
Calcarine L.2,Occipital Inf R.1
Calcarine L.2,Occipital Mid R.1
Calcarine L.2,Occipital Inf R.2
Calcarine L.2,Calcarine R.1
Calcarine L.2,Lingual R.2
Calcarine L.2,Lingual R.4
Calcarine L.2,Calcarine R.2
Calcarine L.2,Lingual R.5
Calcarine L.2,Lingual R.6
Calcarine L.2,Calcarine R.3
Calcarine L.2,Occipital Inf R.3
Calcarine L.2,Fusiform R.9
Calcarine L.2,Occipital Mid R.7
Calcarine L.2,Occipital Sup R.6
Calcarine L.2,Occipital Inf R.4
Calcarine L.2,Occipital Inf R.5
Lingual L.4,Calcarine L.1
Lingual L.4,Calcarine L.3
Lingual L.4,Lingual L.5
Lingual L.4,Occipital Sup L.5
Lingual L.4,Occipital Inf L.2
Lingual L.4,Fusiform L.6
Lingual L.4,Occipital Mid L.11
Lingual L.4,Occipital Mid L.12
Lingual L.4,Occipital Inf L.3
Lingual L.4,Occipital Inf R.1
Lingual L.4,Occipital Mid R.1
Lingual L.4,Occipital Inf R.2
Lingual L.4,Calcarine R.1
Lingual L.4,Lingual R.2
Lingual L.4,Lingual R.4
Lingual L.4,Calcarine R.2
Lingual L.4,Lingual R.5
Lingual L.4,Calcarine R.3
Lingual L.4,Occipital Inf R.3
Lingual L.4,Fusiform R.9
Lingual L.4,Occipital Mid R.7
Lingual L.4,Occipital Sup R.6
Lingual L.4,Occipital Inf R.4
Lingual L.4,Occipital Inf R.5
Calcarine L.3,Calcarine L.1
Calcarine L.3,Occipital Mid L.3
Calcarine L.3,Lingual L.2
Calcarine L.3,Lingual L.5
Calcarine L.3,Occipital Sup L.4
Calcarine L.3,Lingual L.6
Calcarine L.3,Occipital Sup L.5
Calcarine L.3,Occipital Inf L.2
Calcarine L.3,Fusiform L.6
Calcarine L.3,Cuneus L.3
Calcarine L.3,Occipital Mid L.11
Calcarine L.3,Occipital Inf L.3
Calcarine L.3,Calcarine L.5
Calcarine L.3,Occipital Inf R.1
Calcarine L.3,Occipital Mid R.1
Calcarine L.3,Occipital Inf R.2
Calcarine L.3,Calcarine R.1
Calcarine L.3,Occipital Mid R.2
Calcarine L.3,Lingual R.1
Calcarine L.3,Fusiform R.4
Calcarine L.3,Lingual R.2
Calcarine L.3,Lingual R.3
Calcarine L.3,Calcarine R.2
Calcarine L.3,Lingual R.5
Calcarine L.3,Occipital Sup R.4
Calcarine L.3,Lingual R.6
Calcarine L.3,Calcarine R.3
Calcarine L.3,Occipital Inf R.3
Calcarine L.3,Fusiform R.9
Calcarine L.3,Occipital Sup R.5
Calcarine L.3,Occipital Mid R.7
Calcarine L.3,Occipital Sup R.6
Calcarine L.3,Occipital Sup R.7
Calcarine L.3,Occipital Inf R.4
Calcarine L.3,Calcarine R.6
Lingual L.5,Fusiform L.2
Lingual L.5,Calcarine L.1
Lingual L.5,Occipital Mid L.3
Lingual L.5,Lingual L.1
Lingual L.5,Lingual L.2
Lingual L.5,Lingual L.3
Lingual L.5,Lingual L.6
Lingual L.5,Occipital Sup L.5
Lingual L.5,Fusiform L.4
Lingual L.5,Occipital Inf L.2
Lingual L.5,Fusiform L.6
Lingual L.5,Cuneus L.3
Lingual L.5,Occipital Mid L.9
Lingual L.5,Occipital Mid L.11
Lingual L.5,Occipital Sup L.8
Lingual L.5,Occipital Mid L.12
Lingual L.5,Occipital Inf L.3
Lingual L.5,Fusiform R.1
Lingual L.5,Occipital Mid R.1
Lingual L.5,Calcarine R.1
Lingual L.5,Occipital Mid R.2
Lingual L.5,Lingual R.1
Lingual L.5,Fusiform R.4
Lingual L.5,Fusiform R.5
Lingual L.5,Lingual R.3
Lingual L.5,Calcarine R.2
Lingual L.5,Lingual R.5
Lingual L.5,Lingual R.6
Lingual L.5,Occipital Inf R.3
Lingual L.5,Fusiform R.9
Lingual L.5,Occipital Sup R.5
Lingual L.5,Occipital Mid R.7
Lingual L.5,Occipital Sup R.7
Lingual L.5,Occipital Inf R.4
Lingual L.5,Calcarine R.6
Occipital Sup L.5,Calcarine L.1
Occipital Sup L.5,Occipital Mid L.3
Occipital Sup L.5,Occipital Sup L.4
Occipital Sup L.5,Occipital Inf L.2
Occipital Sup L.5,Cuneus L.3
Occipital Sup L.5,Occipital Mid L.11
Occipital Sup L.5,Occipital Mid L.12
Occipital Sup L.5,Occipital Inf L.3
Occipital Sup L.5,Occipital Inf R.1
Occipital Sup L.5,Occipital Mid R.1
Occipital Sup L.5,Occipital Inf R.2
Occipital Sup L.5,Calcarine R.1
Occipital Sup L.5,Occipital Mid R.2
Occipital Sup L.5,Lingual R.2
Occipital Sup L.5,Lingual R.4
Occipital Sup L.5,Calcarine R.2
Occipital Sup L.5,Lingual R.5
Occipital Sup L.5,Occipital Sup R.4
Occipital Sup L.5,Lingual R.6
Occipital Sup L.5,Calcarine R.3
Occipital Sup L.5,Occipital Inf R.3
Occipital Sup L.5,Occipital Sup R.5
Occipital Sup L.5,Occipital Mid R.7
Occipital Sup L.5,Occipital Sup R.6
Occipital Sup L.5,Occipital Sup R.7
Occipital Sup L.5,Occipital Inf R.4
Occipital Inf L.2,Calcarine L.1
Occipital Inf L.2,Occipital Mid L.3
Occipital Inf L.2,Occipital Mid L.4
Occipital Inf L.2,Lingual L.2
Occipital Inf L.2,Fusiform L.3
Occipital Inf L.2,Lingual L.6
Occipital Inf L.2,Fusiform L.4
Occipital Inf L.2,Fusiform L.6
Occipital Inf L.2,Occipital Mid L.9
Occipital Inf L.2,Occipital Mid L.11
Occipital Inf L.2,Occipital Mid L.12
Occipital Inf L.2,Occipital Inf L.3
Occipital Inf L.2,Occipital Inf R.1
Occipital Inf L.2,Occipital Mid R.1
Occipital Inf L.2,Occipital Inf R.2
Occipital Inf L.2,Occipital Mid R.2
Occipital Inf L.2,Fusiform R.4
Occipital Inf L.2,Lingual R.5
Occipital Inf L.2,Lingual R.6
Occipital Inf L.2,Calcarine R.3
Occipital Inf L.2,Occipital Inf R.3
Occipital Inf L.2,Fusiform R.9
Occipital Inf L.2,Occipital Mid R.7
Occipital Inf L.2,Occipital Sup R.6
Occipital Inf L.2,Occipital Inf R.4
Occipital Inf L.2,Occipital Inf R.5
